#L energy(eV)  Id  If  I0  I1  I2  Is  time log(I0/I1)

  7089.75  3.0027  0.1412  2.7823  5.7535  4.3045 2   3.00 -0.7265
  7090.05  3.0017  0.1418  2.7862  5.7621  4.3110 2   3.00 -0.7266
  7090.35  3.0028  0.1409  2.7795  5.7493  4.3014 2   3.00 -0.7268
  7090.65  3.0012  0.1419  2.7854  5.7620  4.3116 4   3.00 -0.7269
  7090.95  3.0020  0.1419  2.7831  5.7574  4.3077 2   3.00 -0.7269
  7091.25  3.0014  0.1424  2.7855  5.7648  4.3138 3   3.00 -0.7273
  7091.55  3.0015  0.1424  2.7819  5.7581  4.3085 2   3.00 -0.7275
  7091.85  3.0013  0.1424  2.7803  5.7574  4.3087 2   3.00 -0.7279
  7092.15  3.0016  0.1431  2.7822  5.7610  4.3114 3   3.00 -0.7279
  7092.45  3.0018  0.1429  2.7794  5.7565  4.3087 2   3.00 -0.7281
  7092.75  3.0016  0.1432  2.7802  5.7587  4.3106 2   3.00 -0.7282
  7093.05  3.0009  0.1436  2.7814  5.7643  4.3143 0   3.00 -0.7287
  7093.35  3.0004  0.1434  2.7825  5.7648  4.3148 0   3.00 -0.7284
  7093.65  3.0013  0.1445  2.7800  5.7608  4.3116 4   3.00 -0.7286
  7093.95  3.0013  0.1447  2.7784  5.7596  4.3099 2   3.00 -0.7290
  7094.25  2.9999  0.1449  2.7840  5.7712  4.3193 1   3.00 -0.7290
  7094.55  3.0006  0.1454  2.7815  5.7683  4.3168 2   3.00 -0.7294
  7094.85  2.9949  0.1457  2.7835  5.7708  4.3175 3   3.00 -0.7291
  7095.15  3.0002  0.1464  2.7814  5.7676  4.3157 1   3.00 -0.7293
  7095.45  3.0006  0.1466  2.7803  5.7665  4.3147 1   3.00 -0.7295
  7095.75  3.0002  0.1467  2.7813  5.7720  4.3183 5   3.00 -0.7301
  7096.05  2.9999  0.1473  2.7821  5.7766  4.3215 3   3.00 -0.7306
  7096.35  3.0012  0.1475  2.7771  5.7667  4.3132 4   3.00 -0.7307
  7096.65  2.9992  0.1481  2.7847  5.7816  4.3240 0   3.00 -0.7305
  7096.95  2.9993  0.1488  2.7842  5.7829  4.3244 2   3.00 -0.7309
  7097.25  3.0003  0.1486  2.7796  5.7755  4.3181 1   3.00 -0.7313
  7097.55  2.9999  0.1495  2.7819  5.7812  4.3219 2   3.00 -0.7315
  7097.85  2.9997  0.1495  2.7807  5.7785  4.3199 1   3.00 -0.7315
  7098.15  2.9991  0.1506  2.7846  5.7868  4.3252 2   3.00 -0.7315
  7098.45  2.9999  0.1504  2.7812  5.7815  4.3203 5   3.00 -0.7318
  7098.75  3.0011  0.1502  2.7758  5.7713  4.3122 3   3.00 -0.7319
  7099.05  2.9999  0.1513  2.7801  5.7810  4.3187 1   3.00 -0.7321
  7099.35  3.0002  0.1516  2.7794  5.7796  4.3168 5   3.00 -0.7321
  7099.65  3.0001  0.1522  2.7807  5.7823  4.3172 1   3.00 -0.7321
  7099.95  3.0006  0.1530  2.7795  5.7838  4.3170 6   3.00 -0.7328
  7100.25  3.0005  0.1533  2.7804  5.7850  4.3164 5   3.00 -0.7327
  7100.55  3.0003  0.1542  2.7817  5.7888  4.3180 4   3.00 -0.7329
  7100.85  3.0006  0.1546  2.7814  5.7888  4.3167 1   3.00 -0.7330
  7101.15  3.0006  0.1549  2.7796  5.7876  4.3144 1   3.00 -0.7334
  7101.45  2.9998  0.1559  2.7835  5.7957  4.3188 2   3.00 -0.7334
  7101.75  3.0007  0.1569  2.7817  5.7936  4.3153 3   3.00 -0.7337
  7102.05  2.9953  0.1574  2.7854  5.7982  4.3166 2   3.00 -0.7332
  7102.35  3.0011  0.1580  2.7816  5.7917  4.3093 3   3.00 -0.7334
  7102.65  3.0019  0.1587  2.7805  5.7892  4.3054 1   3.00 -0.7334
  7102.95  3.0019  0.1597  2.7821  5.7937  4.3067 1   3.00 -0.7336
  7103.25  3.0020  0.1601  2.7832  5.7970  4.3062 1   3.00 -0.7337
  7103.55  3.0037  0.1604  2.7794  5.7906  4.2981 2   3.00 -0.7340
  7103.85  3.0023  0.1620  2.7857  5.8031  4.3044 5   3.00 -0.7339
  7104.15  3.0031  0.1629  2.7839  5.8013  4.2997 4   3.00 -0.7342
  7104.45  3.0042  0.1630  2.7809  5.7951  4.2912 5   3.00 -0.7342
  7104.75  3.0051  0.1648  2.7818  5.7978  4.2886 2   3.00 -0.7344
  7105.05  3.0051  0.1657  2.7840  5.8037  4.2886 2   3.00 -0.7346
  7105.35  3.0055  0.1663  2.7836  5.8028  4.2825 2   3.00 -0.7346
  7105.65  3.0064  0.1677  2.7858  5.8070  4.2799 3   3.00 -0.7345
  7105.95  3.0076  0.1689  2.7829  5.8017  4.2693 1   3.00 -0.7346
  7106.25  3.0090  0.1703  2.7829  5.8048  4.2652 5   3.00 -0.7352
  7106.55  3.0092  0.1714  2.7862  5.8113  4.2613 1   3.00 -0.7351
  7106.85  3.0120  0.1724  2.7814  5.8011  4.2447 2   3.00 -0.7351
  7107.15  3.0141  0.1738  2.7808  5.7999  4.2331 2   3.00 -0.7351
  7107.45  3.0164  0.1759  2.7778  5.7949  4.2178 6   3.00 -0.7353
  7107.75  3.0169  0.1781  2.7878  5.8133  4.2166 3   3.00 -0.7349
  7108.05  3.0209  0.1791  2.7814  5.8001  4.1904 0   3.00 -0.7349
  7108.35  3.0248  0.1809  2.7781  5.7924  4.1652 6   3.00 -0.7348
  7108.65  3.0300  0.1831  2.7745  5.7827  4.1340 0   3.00 -0.7344
  7108.95  3.0334  0.1861  2.7815  5.7974  4.1147 3   3.00 -0.7344
  7109.25  3.0395  0.1888  2.7818  5.7960  4.0756 5   3.00 -0.7341
  7109.55  3.0423  0.1923  2.7815  5.7924  4.0229 4   3.00 -0.7336
  7109.85  3.0581  0.1961  2.7843  5.7958  3.9571 1   3.00 -0.7331
  7110.15  3.0742  0.2017  2.7847  5.7940  3.8579 7   3.00 -0.7327
  7110.45  3.0980  0.2083  2.7822  5.7813  3.7106 3   3.00 -0.7314
  7110.75  3.1285  0.2171  2.7842  5.7768  3.5225 2   3.00 -0.7299
  7111.05  3.1688  0.2291  2.7777  5.7532  3.2801 4   3.00 -0.7281
  7111.35  3.2092  0.2478  2.7814  5.7430  3.0380 2   3.00 -0.7250
  7111.65  3.2467  0.2677  2.7827  5.7247  2.8197 3   3.00 -0.7214
  7111.95  3.2780  0.2833  2.7842  5.7133  2.6439 3   3.00 -0.7188
  7112.25  3.3032  0.2900  2.7830  5.7080  2.5094 6   3.00 -0.7183
  7112.55  3.3220  0.2865  2.7806  5.7098  2.4051 1   3.00 -0.7195
  7112.85  3.3366  0.2837  2.7821  5.7209  2.3196 2   3.00 -0.7209
  7113.15  3.3512  0.2834  2.7789  5.7183  2.2400 3   3.00 -0.7216
  7113.45  3.3629  0.2896  2.7857  5.7313  2.1744 2   3.00 -0.7214
  7113.75  3.3759  0.3006  2.7829  5.7136  2.1029 1   3.00 -0.7193
  7114.05  3.3880  0.3188  2.7815  5.6923  2.0375 3   3.00 -0.7161
  7114.35  3.3978  0.3450  2.7832  5.6669  1.9801 1   3.00 -0.7110
  7114.65  3.4072  0.3762  2.7834  5.6334  1.9300 0   3.00 -0.7050
  7114.95  3.4147  0.4103  2.7840  5.5955  1.8882 3   3.00 -0.6981
  7115.25  3.4212  0.4444  2.7820  5.5529  1.8535 3   3.00 -0.6911
  7115.55  3.4256  0.4800  2.7862  5.5211  1.8281 1   3.00 -0.6839
  7115.85  3.4316  0.5174  2.7839  5.4763  1.8014 1   3.00 -0.6766
  7116.15  3.4355  0.5592  2.7838  5.4321  1.7744 2   3.00 -0.6685
  7116.45  3.4417  0.6029  2.7808  5.3787  1.7399 0   3.00 -0.6597
  7116.75  3.4488  0.6471  2.7812  5.3325  1.7003 0   3.00 -0.6509
  7117.05  3.4502  0.6951  2.7821  5.2819  1.6479 3   3.00 -0.6411
  7117.35  3.4687  0.7469  2.7831  5.2294  1.5844 2   3.00 -0.6307
  7117.65  3.4818  0.8039  2.7858  5.1759  1.5104 1   3.00 -0.6195
  7117.95  3.4971  0.8647  2.7827  5.1053  1.4259 2   3.00 -0.6069
  7118.25  3.5138  0.9300  2.7818  5.0310  1.3395 1   3.00 -0.5925
  7118.55  3.5292  1.0055  2.7846  4.9612  1.2566 1   3.00 -0.5776
  7118.85  3.5442  1.0883  2.7860  4.8806  1.1734 2   3.00 -0.5607
  7119.15  3.5592  1.1756  2.7822  4.7808  1.0908 2   3.00 -0.5414
  7119.45  3.5742  1.2692  2.7813  4.6842  1.0124 1   3.00 -0.5213
  7119.75  3.5880  1.3594  2.7809  4.5926  0.9394 1   3.00 -0.5017
  7120.05  3.6003  1.4436  2.7819  4.5141  0.8718 5   3.00 -0.4841
  7120.35  3.6124  1.5168  2.7830  4.4467  0.8107 0   3.00 -0.4686
  7120.65  3.6210  1.5750  2.7812  4.3899  0.7576 5   3.00 -0.4564
  7120.95  3.6317  1.6369  2.7816  4.3360  0.7093 1   3.00 -0.4439
  7121.25  3.6400  1.6936  2.7836  4.2906  0.6677 2   3.00 -0.4327
  7121.55  3.6477  1.7437  2.7773  4.2343  0.6290 3   3.00 -0.4217
  7121.85  3.6530  1.7999  2.7831  4.2002  0.5986 3   3.00 -0.4115
  7122.15  3.6587  1.8488  2.7835  4.1657  0.5714 0   3.00 -0.4032
  7122.45  3.6620  1.8886  2.7841  4.1407  0.5480 0   3.00 -0.3970
  7122.75  3.6669  1.9252  2.7842  4.1192  0.5278 3   3.00 -0.3917
  7123.05  3.6708  1.9614  2.7822  4.0957  0.5094 4   3.00 -0.3867
  7123.35  3.6722  1.9953  2.7792  4.0723  0.4927 1   3.00 -0.3821
  7123.65  3.6760  2.0436  2.7809  4.0445  0.4770 0   3.00 -0.3746
  7123.95  3.6759  2.0986  2.7842  4.0134  0.4623 0   3.00 -0.3657
  7124.25  3.6808  2.1537  2.7822  3.9739  0.4473 0   3.00 -0.3565
  7124.55  3.6725  2.2223  2.7819  3.9223  0.4319 3   3.00 -0.3435
  7124.85  3.6862  2.2930  2.7828  3.8730  0.4179 4   3.00 -0.3306
  7125.15  3.6896  2.3635  2.7812  3.8168  0.4034 4   3.00 -0.3165
  7125.45  3.6888  2.4352  2.7810  3.7609  0.3897 0   3.00 -0.3019
  7125.75  3.6948  2.5150  2.7828  3.7046  0.3766 2   3.00 -0.2861
  7126.05  3.6974  2.5894  2.7842  3.6501  0.3635 2   3.00 -0.2708
  7126.35  3.6962  2.6599  2.7851  3.5983  0.3505 1   3.00 -0.2562
  7126.65  3.7029  2.7327  2.7822  3.5383  0.3370 0   3.00 -0.2404
  7126.95  3.7024  2.8080  2.7856  3.4886  0.3243 1   3.00 -0.2250
  7127.25  3.7092  2.8684  2.7825  3.4339  0.3110 2   3.00 -0.2103
  7127.55  3.7124  2.9382  2.7813  3.3805  0.2978 2   3.00 -0.1951
  7127.85  3.7138  3.0067  2.7815  3.3285  0.2847 3   3.00 -0.1795
  7128.15  3.7173  3.0668  2.7831  3.2835  0.2721 0   3.00 -0.1653
  7128.45  3.7176  3.1282  2.7836  3.2346  0.2597 1   3.00 -0.1502
  7128.75  3.7209  3.1891  2.7861  3.1922  0.2477 2   3.00 -0.1361
  7129.05  3.7241  3.2463  2.7839  3.1417  0.2359 3   3.00 -0.1209
  7129.35  3.7268  3.2979  2.7809  3.0912  0.2252 1   3.00 -0.1058
  7129.65  3.7271  3.3572  2.7839  3.0467  0.2159 3   3.00 -0.0902
  7129.95  3.7299  3.4077  2.7822  2.9990  0.2076 1   3.00 -0.0750
  7130.25  3.7301  3.4655  2.7845  2.9548  0.2007 1   3.00 -0.0593
  7130.55  3.7325  3.5142  2.7866  2.9143  0.1957 1   3.00 -0.0448
  7130.85  3.7312  3.5494  2.7798  2.8680  0.1918 0   3.00 -0.0312
  7131.15  3.7325  3.5855  2.7786  2.8292  0.1898 1   3.00 -0.0180
  7131.45  3.7216  3.6400  2.7833  2.7922  0.1896 0   3.00 -0.0032
  7131.75  3.7324  3.6747  2.7872  2.7655  0.1913 1   3.00  0.0078
  7132.05  3.7345  3.6974  2.7808  2.7324  0.1934 4   3.00  0.0176
  7132.35  3.7323  3.7173  2.7817  2.7140  0.1973 0   3.00  0.0246
  7132.65  3.7301  3.7347  2.7811  2.6992  0.2018 2   3.00  0.0299
  7132.95  3.7307  3.7452  2.7854  2.6969  0.2075 2   3.00  0.0323
  7133.25  3.7274  3.7461  2.7806  2.6877  0.2126 3   3.00  0.0340
  7133.55  3.7282  3.7467  2.7833  2.6947  0.2188 1   3.00  0.0324
  7133.85  3.7268  3.7308  2.7842  2.7083  0.2254 3   3.00  0.0276
  7134.15  3.7250  3.7219  2.7838  2.7218  0.2316 3   3.00  0.0225
  7134.45  3.7228  3.6966  2.7798  2.7384  0.2377 2   3.00  0.0150
  7134.75  3.7205  3.6735  2.7860  2.7717  0.2443 1   3.00  0.0051
  7135.05  3.7210  3.6468  2.7844  2.7996  0.2504 5   3.00 -0.0054
  7135.35  3.7197  3.6106  2.7814  2.8238  0.2553 2   3.00 -0.0151
  7135.65  3.7183  3.5771  2.7842  2.8630  0.2611 5   3.00 -0.0279
  7135.95  3.7183  3.5419  2.7818  2.8953  0.2658 2   3.00 -0.0400
  7136.25  3.7157  3.5049  2.7834  2.9336  0.2704 2   3.00 -0.0525
  7136.55  3.7168  3.4623  2.7828  2.9727  0.2745 0   3.00 -0.0660
  7136.85  3.7148  3.4203  2.7794  3.0089  0.2777 0   3.00 -0.0793
  7137.15  3.7150  3.3876  2.7834  3.0472  0.2806 0   3.00 -0.0905
  7137.45  3.7147  3.3474  2.7842  3.0872  0.2829 4   3.00 -0.1033
  7137.75  3.7144  3.3122  2.7835  3.1192  0.2840 0   3.00 -0.1138
  7138.05  3.7136  3.2777  2.7824  3.1503  0.2848 0   3.00 -0.1242
  7138.35  3.7016  3.2506  2.7870  3.1849  0.2856 1   3.00 -0.1335
  7138.65  3.7127  3.2151  2.7827  3.2090  0.2850 2   3.00 -0.1426
  7138.95  3.7130  3.1874  2.7845  3.2383  0.2848 2   3.00 -0.1510
  7139.25  3.7146  3.1569  2.7813  3.2592  0.2838 0   3.00 -0.1586
  7139.55  3.7145  3.1317  2.7842  3.2871  0.2836 0   3.00 -0.1660
  7139.85  3.7137  3.1053  2.7828  3.3085  0.2830 3   3.00 -0.1731
  7140.15  3.7142  3.0847  2.7828  3.3266  0.2825 2   3.00 -0.1785
  7140.75  3.6899  3.0444  2.7857  3.3666  0.2828 3   3.00 -0.1894
  7141.83  3.7116  2.9859  2.7827  3.4098  0.2852 0   3.00 -0.2032
  7142.93  3.7104  2.9411  2.7833  3.4471  0.2912 0   3.00 -0.2139
  7144.04  3.7108  2.9023  2.7813  3.4762  0.2968 5   3.00 -0.2230
  7145.18  3.7115  2.8687  2.7817  3.5039  0.2978 2   3.00 -0.2308
  7146.33  3.7014  2.8363  2.7796  3.5274  0.2924 2   3.00 -0.2382
  7147.51  3.7114  2.8033  2.7812  3.5613  0.2827 3   3.00 -0.2472
  7148.70  3.7154  2.7709  2.7809  3.5901  0.2727 2   3.00 -0.2554
  7149.91  3.7179  2.7361  2.7802  3.6207  0.2668 0   3.00 -0.2642
  7151.14  3.7178  2.7137  2.7870  3.6586  0.2648 0   3.00 -0.2721
  7152.39  3.7194  2.6844  2.7799  3.6714  0.2621 0   3.00 -0.2781
  7153.66  3.7086  2.6623  2.7822  3.6963  0.2626 1   3.00 -0.2841
  7154.95  3.7176  2.6500  2.7840  3.7166  0.2660 1   3.00 -0.2889
